,L1_ITO,L2_ZnO,L3_PbSTBAI,L4_Au,Transmission,Reflection
300.0,0.586312912989,0.338116189674,0.0100568203264,2.10923486785e-08,1.09656418914e-05,0.0655030902765
301.0,0.570573205993,0.353586322504,0.0109900549987,2.49109472111e-08,1.13433698781e-05,0.0648390482233
302.0,0.554580518465,0.36911961873,0.0119854713159,2.93463271034e-08,1.1720945201e-05,0.0643026411979
303.0,0.538519931915,0.384514993931,0.0130409968689,3.45040384474e-08,1.20876512429e-05,0.0639119551294
304.0,0.522140056441,0.400023516548,0.0141667986376,4.04805355376e-08,1.24479687762e-05,0.0636571399238
305.0,0.505878452577,0.415194848061,0.0153517324577,4.74025992034e-08,1.27865722371e-05,0.0635621329292
306.0,0.489392029382,0.430372895827,0.0166101643242,5.53954021345e-08,1.31119321607e-05,0.0636117431398
307.0,0.472717814159,0.445517952648,0.0179444482564,6.46600423702e-08,1.34212198902e-05,0.0638062990568
308.0,0.456403683323,0.460083848797,0.0193341937628,7.52403437422e-08,1.36990364213e-05,0.0641644998408
309.0,0.439926282349,0.474594340708,0.0208052665382,8.74772024685e-08,1.39581878488e-05,0.0646600647392
310.0,0.423562302961,0.488782387612,0.022348142965,1.01472457656e-07,1.4191359302e-05,0.0652928736298
311.0,0.407523210751,0.502449103446,0.0239560090513,1.17531514276e-07,1.43929650392e-05,0.0660571662556
312.0,0.391461769685,0.515943749154,0.0256458831127,1.35887862225e-07,1.45740452184e-05,0.0669338881156
313.0,0.375898233698,0.528760145114,0.02739767275,1.56845775163e-07,1.47215350706e-05,0.067929070057
314.0,0.360470246519,0.541268781199,0.029228599643,1.80680730998e-07,1.48470832066e-05,0.0690173448749
315.0,0.34517927197,0.553472793537,0.0311445774019,2.0795237388e-07,1.49511476084e-05,0.070188197991
316.0,0.33055571204,0.564892244421,0.0331184636622,2.38736588186e-07,1.50231649098e-05,0.0714183179756
317.0,0.316083359352,0.576019740554,0.0351798681397,2.73872395936e-07,1.5077736414e-05,0.0727016803457
318.0,0.302043498861,0.586602987251,0.0373133167893,3.13549428278e-07,1.51110627074e-05,0.0740247724866
319.0,0.28843746348,0.596653115107,0.0395241750498,3.58465389969e-07,1.51241743068e-05,0.075369763724
320.0,0.275034656906,0.606395635519,0.041826897039,4.09274589401e-07,1.51252710575e-05,0.0767272759908
321.0,0.262313392744,0.61539993642,0.0441934326292,4.66608757809e-07,1.51053987225e-05,0.0780776661998
322.0,0.249922404811,0.624001857211,0.046645310273,5.31219937253e-07,1.50751181604e-05,0.0794148213678
323.0,0.237881089989,0.632191181863,0.0491880836355,6.04140448968e-07,1.50349892396e-05,0.0807240053825
324.0,0.226446272582,0.639751372441,0.0518008955424,6.85840733963e-07,1.49826980668e-05,0.0819857908962
325.0,0.21527723419,0.646987248006,0.0545142464,7.78152003913e-07,1.49257905995e-05,0.0832055674619
326.0,0.204627829536,0.653677562226,0.0573083024811,8.81542749516e-07,1.48614103421e-05,0.0843705628041
327.0,0.194473994951,0.65985526084,0.0601835680812,9.97484659003e-07,1.47913169878e-05,0.0854713873256
328.0,0.184580465799,0.66572915694,0.063165543585,1.12740855302e-06,1.47215735508e-05,0.0865089846933
329.0,0.175246092928,0.671044865566,0.0662259006617,1.27288918751e-06,1.46474936098e-05,0.0874672204617
330.0,0.166272151195,0.675974330913,0.0693879835298,1.43565956429e-06,1.45740160049e-05,0.0883495246863
331.0,0.157579754217,0.680587907045,0.0726578484692,1.61800805933e-06,1.45031616142e-05,0.0891583690995
332.0,0.149515138535,0.68458639883,0.0760043853959,1.82066127602e-06,1.44297096622e-05,0.089877826868
333.0,0.141658109201,0.688334193741,0.0794644955383,2.04761521711e-06,1.43617251686e-05,0.0905267921786
334.0,0.134226790529,0.691638003467,0.083025439122,2.30029217204e-06,1.42958431887e-05,0.0910931707466
335.0,0.127139128851,0.694570505781,0.0866932521985,2.58232948991e-06,1.42339624518e-05,0.091580296878
336.0,0.120310901335,0.697198437283,0.0904776950311,2.8959930515e-06,1.41782717457e-05,0.0919958920856
337.0,0.113919598769,0.699372903717,0.0943567313801,3.24500703371e-06,1.4125298333e-05,0.0923333958287
338.0,0.10779276422,0.701228874746,0.0983581271403,3.63289966879e-06,1.40789208627e-05,0.0926025220731
339.0,0.101931924417,0.702767811685,0.102474654005,4.06400145109e-06,1.40386494431e-05,0.0928075072425
340.0,0.0964716057951,0.703866234191,0.106699810876,4.54186424921e-06,1.40028699999e-05,0.0929438044041
341.0,0.0911917260652,0.704705608211,0.111057309171,5.07281547827e-06,1.39747155403e-05,0.093026309022
342.0,0.0862268590033,0.705170244212,0.11553084861,5.66001365207e-06,1.39525538238e-05,0.0930524356068
343.0,0.0815783305382,0.705257018577,0.120115229737,6.31055102633e-06,1.39357861475e-05,0.0930291748104
344.0,0.0770678785293,0.705098913856,0.12484637904,7.03100402838e-06,1.39278064877e-05,0.0929658697641
345.0,0.0728312069745,0.704584972469,0.129701670976,7.82791765025e-06,1.39257799857e-05,0.0928603958831
346.0,0.0688366646227,0.706503638146,0.131307741318,8.48928213333e-06,1.39218941691e-05,0.0933295447376
347.0,0.0650303983178,0.708311350765,0.132906907331,9.20254187862e-06,1.39164136607e-05,0.0937282246306
348.0,0.0615027121474,0.709930572156,0.134490308132,9.96844624246e-06,1.3908261818e-05,0.0940525308569
349.0,0.0581181136986,0.711482794001,0.136067094621,1.07936296708e-05,1.38993762932e-05,0.0943073046734
350.0,0.0549215749475,0.71292722428,0.137635554507,1.16792410953e-05,1.38893231866e-05,0.0944900777015
351.0,0.0519954534763,0.718750961927,0.13450110712,1.22049200529e-05,1.38078590798e-05,0.0947264646979
352.0,0.0491677241302,0.724494709139,0.131461084134,1.27506748387e-05,1.37488701173e-05,0.0948499830513
353.0,0.0465744275142,0.730050413218,0.128492797623,1.33182944197e-05,1.37082755507e-05,0.0948553350745
354.0,0.0440767012694,0.735528267657,0.125612395912,1.39072552473e-05,1.36881684844e-05,0.0947550397384
355.0,0.0417197707727,0.74089600737,0.122810843131,1.45187447554e-05,1.36864510104e-05,0.0945451735299
356.0,0.0395339704668,0.744224856317,0.122566010565,1.54675173587e-05,1.36212054124e-05,0.0936460739283
357.0,0.0374411469214,0.747539829275,0.122321697308,1.64711845063e-05,1.35604245201e-05,0.0926672948861
358.0,0.0354406702004,0.750836363275,0.122071753748,1.7534077615e-05,1.35043358719e-05,0.0916201743627
359.0,0.0336247743107,0.754022804019,0.121812663612,1.86561055893e-05,1.34500822644e-05,0.0905076518708
360.0,0.0318545384956,0.757217424284,0.121558080831,1.98412595668e-05,1.34009219304e-05,0.0893367142079
361.0,0.0302178213779,0.759350591661,0.122756664567,2.1343932709e-05,1.32817994031e-05,0.0876402966623
362.0,0.0286731277437,0.761431394256,0.123947550264,2.29505680382e-05,1.31636732588e-05,0.0859118134951
363.0,0.0272205246005,0.763449308908,0.12513996728,2.46639232455e-05,1.304606729e-05,0.0841524892214
364.0,0.0258600203429,0.765402815034,0.12632225057,2.64937437369e-05,1.29293663124e-05,0.0823754909431
365.0,0.0245448654491,0.767321529021,0.127510397316,2.84414265204e-05,1.28140562339e-05,0.080581952731
366.0,0.0233049364086,0.766430896492,0.132086194275,3.13187573208e-05,1.25683116368e-05,0.0781340857556
367.0,0.022158129477,0.765294737262,0.136783371214,3.44599826074e-05,1.23269769608e-05,0.0757169750871
368.0,0.0210579596142,0.763954202033,0.14160550606,3.78925309281e-05,1.2091709351e-05,0.0733323480532
369.0,0.020051397373,0.762349612762,0.146557008916,4.16359987999e-05,1.18612334361e-05,0.0709884837167
370.0,0.0190915838662,0.760514913281,0.151640801149,4.57254094573e-05,1.16369949024e-05,0.0686953392993
371.0,0.018162249498,0.754601100757,0.161326233991,5.1603383071e-05,1.13204627736e-05,0.0658474919078
372.0,0.0172813122741,0.74798910232,0.171566349635,5.82011147501e-05,1.1036751021e-05,0.0630939979051
373.0,0.0164957090278,0.740612366658,0.182361523523,6.55779471715e-05,1.07872331643e-05,0.0604540356104
374.0,0.0157114017701,0.732489372711,0.193768181408,7.38355610486e-05,1.05757491032e-05,0.0579466328007
375.0,0.0150224868942,0.723525114044,0.205778720806,8.30578190311e-05,1.04028098509e-05,0.0555802176265
376.0,0.0142857421348,0.707440993466,0.224217821748,9.58317667009e-05,1.04043984643e-05,0.0539492064859
377.0,0.0135985287121,0.689563022726,0.244165561547,0.000110473995069,1.05075518986e-05,0.0525519054676
378.0,0.0129603940754,0.669739175234,0.265740005419,0.000127244555483,1.07183079496e-05,0.0514224624085
379.0,0.0123711996534,0.647851755888,0.289037273519,0.000146393444048,1.10435864251e-05,0.050582333909
380.0,0.0118306087501,0.623738781282,0.314192249171,0.000168287609635,1.14899491271e-05,0.0500585832375
381.0,0.0112914362429,0.598578216528,0.339801536628,0.000192376235314,1.20506607649e-05,0.0501243837049
382.0,0.0108013985854,0.571115222984,0.367284535964,0.000219721484247,1.27331334086e-05,0.0505663878494
383.0,0.010360153944,0.541187322578,0.396779900808,0.0002507308167,1.35440646432e-05,0.0514083477886
384.0,0.00992302320555,0.508685542985,0.428405181776,0.000285876673496,1.44889000533e-05,0.0526858864602
385.0,0.00949053205401,0.473418740061,0.462313663395,0.0003256214321,1.5575105577e-05,0.054435867952
386.0,0.00913182916816,0.454867428039,0.479653167823,0.000356480731291,1.60809775795e-05,0.0559750132615
387.0,0.00882168383546,0.435618246875,0.497498693587,0.00038996201845,1.66104370759e-05,0.0576548032472
388.0,0.00851634139327,0.415705659015,0.515870539935,0.000426380899286,1.71620544306e-05,0.0594639167032
389.0,0.00825889853721,0.39506140685,0.534803128746,0.000465956774654,1.77362986909e-05,0.0613928727932
