Wavelength (nm),Global tilt  mW*cm-2*nm-1 (1sun AM 1.5)
423.0,1.2184E-01
424.0,1.2117E-01
425.0,1.2488E-01
426.0,1.2135E-01
427.0,1.1724E-01
428.0,1.1839E-01
429.0,1.0963E-01
430.0,8.7462E-02
431.0,7.9394E-02
432.0,1.3207E-01
433.0,1.2288E-01
434.0,1.1352E-01
435.0,1.2452E-01
436.0,1.3659E-01
437.0,1.3943E-01
438.0,1.2238E-01
439.0,1.1775E-01
440.0,1.3499E-01
441.0,1.3313E-01
442.0,1.4250E-01
443.0,1.4453E-01
444.0,1.4084E-01
445.0,1.4619E-01
446.0,1.3108E-01
447.0,1.4903E-01
448.0,1.5081E-01
449.0,1.5045E-01
450.0,1.5595E-01
451.0,1.6173E-01
452.0,1.5482E-01
453.0,1.4297E-01
454.0,1.5335E-01
455.0,1.5224E-01
456.0,1.5724E-01
457.0,1.5854E-01
458.0,1.5514E-01
459.0,1.5391E-01
460.0,1.5291E-01
461.0,1.5827E-01
462.0,1.5975E-01
463.0,1.6031E-01
464.0,1.5544E-01
465.0,1.5350E-01
466.0,1.5673E-01
467.0,1.4973E-01
468.0,1.5619E-01
469.0,1.5682E-01
470.0,1.5077E-01
471.0,1.5331E-01
472.0,1.6126E-01
473.0,1.5499E-01
474.0,1.5671E-01
475.0,1.6185E-01
476.0,1.5631E-01
477.0,1.5724E-01
478.0,1.6230E-01
479.0,1.5916E-01
480.0,1.6181E-01
481.0,1.6177E-01
482.0,1.6236E-01
483.0,1.6038E-01
484.0,1.5734E-01
485.0,1.5683E-01
486.0,1.2716E-01
487.0,1.4241E-01
488.0,1.5413E-01
489.0,1.4519E-01
490.0,1.6224E-01
491.0,1.5595E-01
492.0,1.4869E-01
493.0,1.5903E-01
494.0,1.5525E-01
495.0,1.6485E-01
496.0,1.5676E-01
497.0,1.5944E-01
498.0,1.5509E-01
499.0,1.5507E-01
500.0,1.5451E-01
501.0,1.4978E-01
502.0,1.4966E-01
503.0,1.5653E-01
504.0,1.4587E-01
505.0,1.5635E-01
506.0,1.6264E-01
507.0,1.5560E-01
508.0,1.5165E-01
509.0,1.5893E-01
510.0,1.5481E-01
511.0,1.5769E-01
512.0,1.6186E-01
513.0,1.5206E-01
514.0,1.4885E-01
515.0,1.5314E-01
516.0,1.5455E-01
517.0,1.2594E-01
518.0,1.4403E-01
519.0,1.3957E-01
520.0,1.5236E-01
521.0,1.5346E-01
522.0,1.5690E-01
523.0,1.4789E-01
524.0,1.5905E-01
525.0,1.5781E-01
526.0,1.5341E-01
527.0,1.3417E-01
528.0,1.5357E-01
529.0,1.6071E-01
530.0,1.5446E-01
531.0,1.6292E-01
532.0,1.5998E-01
533.0,1.4286E-01
534.0,1.5302E-01
535.0,1.5535E-01
536.0,1.6199E-01
537.0,1.4989E-01
538.0,1.5738E-01
539.0,1.5352E-01
540.0,1.4825E-01
541.0,1.4251E-01
542.0,1.5511E-01
543.0,1.5256E-01
544.0,1.5792E-01
545.0,1.5435E-01
546.0,1.5291E-01
547.0,1.5490E-01
548.0,1.5049E-01
549.0,1.5520E-01
550.0,1.5399E-01
551.0,1.5382E-01
552.0,1.5697E-01
553.0,1.5250E-01
554.0,1.5549E-01
555.0,1.5634E-01
556.0,1.5366E-01
557.0,1.4988E-01
558.0,1.5310E-01
559.0,1.4483E-01
560.0,1.4740E-01
561.0,1.5595E-01
562.0,1.4847E-01
563.0,1.5408E-01
564.0,1.5106E-01
565.0,1.5201E-01
566.0,1.4374E-01
567.0,1.5320E-01
568.0,1.5180E-01
569.0,1.4807E-01
570.0,1.4816E-01
571.0,1.4331E-01
572.0,1.5134E-01
573.0,1.5198E-01
574.0,1.5119E-01
575.0,1.4777E-01
576.0,1.4654E-01
577.0,1.5023E-01
578.0,1.4560E-01
579.0,1.4770E-01
580.0,1.5020E-01
581.0,1.5089E-01
582.0,1.5320E-01
583.0,1.5479E-01
584.0,1.5448E-01
585.0,1.5324E-01
586.0,1.4953E-01
587.0,1.5281E-01
588.0,1.4934E-01
589.0,1.2894E-01
590.0,1.3709E-01
591.0,1.4662E-01
592.0,1.4354E-01
593.0,1.4561E-01
594.0,1.4491E-01
595.0,1.4308E-01
596.0,1.4745E-01
597.0,1.4788E-01
598.0,1.4607E-01
599.0,1.4606E-01
600.0,1.4753E-01
601.0,1.4579E-01
602.0,1.4360E-01
603.0,1.4664E-01
604.0,1.4921E-01
605.0,1.4895E-01
606.0,1.4822E-01
607.0,1.4911E-01
608.0,1.4862E-01
609.0,1.4749E-01
610.0,1.4686E-01
611.0,1.4611E-01
612.0,1.4831E-01
613.0,1.4621E-01
614.0,1.4176E-01
615.0,1.4697E-01
616.0,1.4310E-01
617.0,1.4128E-01
618.0,1.4664E-01
619.0,1.4733E-01
620.0,1.4739E-01
621.0,1.4802E-01
622.0,1.4269E-01
623.0,1.4165E-01
624.0,1.4118E-01
625.0,1.4026E-01
626.0,1.4012E-01
627.0,1.4417E-01
628.0,1.3631E-01
629.0,1.4114E-01
630.0,1.3924E-01
631.0,1.4161E-01
632.0,1.3638E-01
633.0,1.4508E-01
634.0,1.4284E-01
635.0,1.4458E-01
636.0,1.4128E-01
637.0,1.4610E-01
638.0,1.4707E-01
639.0,1.4646E-01
640.0,1.4340E-01
641.0,1.4348E-01
642.0,1.4376E-01
643.0,1.4525E-01
644.0,1.4462E-01
645.0,1.4567E-01
646.0,1.4150E-01
647.0,1.4086E-01
648.0,1.3952E-01
649.0,1.3519E-01
650.0,1.3594E-01
651.0,1.4447E-01
652.0,1.3871E-01
653.0,1.4311E-01
654.0,1.4153E-01
655.0,1.3499E-01
656.0,1.1851E-01
657.0,1.2393E-01
658.0,1.3855E-01
659.0,1.3905E-01
660.0,1.3992E-01
661.0,1.3933E-01
662.0,1.3819E-01
663.0,1.3844E-01
664.0,1.3967E-01
665.0,1.4214E-01
666.0,1.4203E-01
