Wavelength (nm),Glass_n,Glass_k,ITO_n,ITO_k,ZnO_n,ZnO_k,PbSTBAI_n,PbSTBAI_k,PbSEDT_n,PbSEDT_k,Au_n,Au_k,Air_n,Air_k,,,,,,,,,,,,,,,,,,,,,,
451,1.51232,0,1.91843,0.0016,2.11872,0.01316,2.86519,0.67143,2.58809,0.58634,1.50072,1.87538,1,0,,,,,,,,,,,,,,,,,,,,,,
452,1.51228,0,1.91737,0.00161,2.11704,0.01308,2.86564,0.6676,2.58854,0.58284,1.49161,1.8718,1,0,,,,,,,,,,,,,,,,,,,,,,
453,1.51224,0,1.91627,0.00162,2.11537,0.01299,2.86605,0.66381,2.58898,0.57934,1.4825,1.86821,1,0,,,,,,,,,,,,,,,,,,,,,,
454,1.5122,0,1.91513,0.00163,2.11369,0.01291,2.86646,0.66002,2.58942,0.57585,1.47339,1.86463,1,0,,,,,,,,,,,,,,,,,,,,,,
455,1.51216,0,1.91401,0.00164,2.11202,0.01282,2.86683,0.65627,2.58987,0.57235,1.46427,1.86105,1,0,,,,,,,,,,,,,,,,,,,,,,
456,1.51212,0,1.91291,0.00165,2.11036,0.01274,2.8672,0.65252,2.59021,0.56895,1.45516,1.85746,1,0,,,,,,,,,,,,,,,,,,,,,,
457,1.51208,0,1.91184,0.00167,2.10871,0.01265,2.86754,0.64881,2.59056,0.56556,1.44605,1.85388,1,0,,,,,,,,,,,,,,,,,,,,,,
458,1.51204,0,1.91078,0.00168,2.10705,0.01257,2.86788,0.64511,2.59091,0.56216,1.43694,1.8503,1,0,,,,,,,,,,,,,,,,,,,,,,
459,1.512,0,1.9097,0.00169,2.1054,0.01248,2.86818,0.64144,2.59126,0.55876,1.42782,1.84672,1,0,,,,,,,,,,,,,,,,,,,,,,
460,1.51195,0,1.90857,0.0017,2.10374,0.0124,2.86848,0.63777,2.5916,0.55536,1.41862,1.84311,1,0,,,,,,,,,,,,,,,,,,,,,,
461,1.51191,0,1.90748,0.00171,2.10208,0.01231,2.86874,0.63414,2.59186,0.55206,1.40939,1.83949,1,0,,,,,,,,,,,,,,,,,,,,,,
462,1.51187,0,1.90642,0.00173,2.10042,0.01223,2.86901,0.63051,2.59212,0.54876,1.40016,1.83587,1,0,,,,,,,,,,,,,,,,,,,,,,
463,1.51183,0,1.90536,0.00174,2.09877,0.01214,2.86924,0.62692,2.59238,0.54546,1.39094,1.83225,1,0,,,,,,,,,,,,,,,,,,,,,,
464,1.51179,0,1.90429,0.00175,2.09711,0.01206,2.86948,0.62333,2.59264,0.54216,1.38171,1.82863,1,0,,,,,,,,,,,,,,,,,,,,,,
465,1.51175,0,1.90323,0.00177,2.09545,0.01197,2.86968,0.61977,2.5929,0.53886,1.37248,1.82501,1,0,,,,,,,,,,,,,,,,,,,,,,
466,1.51171,0,1.90216,0.00178,2.09379,0.01189,2.86988,0.61622,2.59308,0.53565,1.36325,1.8214,1,0,,,,,,,,,,,,,,,,,,,,,,
467,1.51168,0,1.9011,0.00179,2.09214,0.0118,2.87005,0.61271,2.59325,0.53245,1.35403,1.81778,1,0,,,,,,,,,,,,,,,,,,,,,,
468,1.51164,0,1.90004,0.0018,2.09048,0.01172,2.87022,0.6092,2.59343,0.52924,1.3445,1.81436,1,0,,,,,,,,,,,,,,,,,,,,,,
469,1.51161,0,1.89897,0.00182,2.08883,0.01163,2.87036,0.60572,2.59361,0.52604,1.33294,1.81229,1,0,,,,,,,,,,,,,,,,,,,,,,
470,1.51157,0,1.8979,0.00183,2.08717,0.01155,2.8705,0.60225,2.59379,0.52283,1.32139,1.81022,1,0,,,,,,,,,,,,,,,,,,,,,,
471,1.51154,0,1.8969,0.00184,2.08559,0.01146,2.87061,0.59881,2.59389,0.51972,1.30983,1.80815,1,0,,,,,,,,,,,,,,,,,,,,,,
472,1.51151,0,1.89587,0.00186,2.08401,0.01138,2.87072,0.59537,2.59399,0.51661,1.29828,1.80608,1,0,,,,,,,,,,,,,,,,,,,,,,
473,1.51147,0,1.89481,0.00187,2.08244,0.01129,2.8708,0.59197,2.59409,0.51349,1.28672,1.80401,1,0,,,,,,,,,,,,,,,,,,,,,,
474,1.51144,0,1.89375,0.00189,2.08086,0.01121,2.87088,0.58857,2.5942,0.51038,1.27516,1.80194,1,0,,,,,,,,,,,,,,,,,,,,,,
475,1.51141,0,1.8927,0.0019,2.07928,0.01112,2.87094,0.58521,2.5943,0.50727,1.26361,1.79987,1,0,,,,,,,,,,,,,,,,,,,,,,
476,1.51137,0,1.89169,0.00191,2.07821,0.01104,2.87099,0.58185,2.59433,0.50425,1.25205,1.7978,1,0,,,,,,,,,,,,,,,,,,,,,,
477,1.51134,0,1.89065,0.00193,2.07713,0.01095,2.87102,0.57852,2.59436,0.50123,1.23984,1.79602,1,0,,,,,,,,,,,,,,,,,,,,,,
478,1.5113,0,1.88959,0.00194,2.07606,0.01087,2.87105,0.5752,2.5944,0.49821,1.22327,1.79617,1,0,,,,,,,,,,,,,,,,,,,,,,
479,1.51127,0,1.88853,0.00196,2.07498,0.01078,2.87105,0.57191,2.59443,0.49519,1.20669,1.79631,1,0,,,,,,,,,,,,,,,,,,,,,,
480,1.51124,0,1.88749,0.00197,2.07391,0.0107,2.87105,0.56862,2.59446,0.49216,1.19011,1.79646,1,0,,,,,,,,,,,,,,,,,,,,,,
481,1.5112,0,1.88648,0.00198,2.07284,0.01061,2.87103,0.56537,2.59443,0.48923,1.17353,1.79661,1,0,,,,,,,,,,,,,,,,,,,,,,
482,1.51117,0,1.88548,0.002,2.07176,0.01053,2.871,0.56211,2.5944,0.4863,1.15696,1.79676,1,0,,,,,,,,,,,,,,,,,,,,,,
483,1.51114,0,1.88447,0.00201,2.07069,0.01044,2.87096,0.5589,2.59437,0.48337,1.14038,1.7969,1,0,,,,,,,,,,,,,,,,,,,,,,
484,1.5111,0,1.8834,0.00203,2.06961,0.01036,2.87091,0.55568,2.59434,0.48044,1.1238,1.79705,1,0,,,,,,,,,,,,,,,,,,,,,,
485,1.51107,0,1.88238,0.00204,2.06854,0.01027,2.87084,0.5525,2.59431,0.4775,1.10722,1.7972,1,0,,,,,,,,,,,,,,,,,,,,,,
486,1.51104,0,1.88137,0.00206,2.06747,0.01019,2.87077,0.54932,2.59423,0.47466,1.09065,1.79735,1,0,,,,,,,,,,,,,,,,,,,,,,
487,1.511,0,1.88037,0.00207,2.06639,0.0101,2.87067,0.54617,2.59414,0.47181,1.07328,1.8008,1,0,,,,,,,,,,,,,,,,,,,,,,
488,1.51097,0,1.87934,0.00209,2.06532,0.01002,2.87058,0.54302,2.59405,0.46897,1.05569,1.80518,1,0,,,,,,,,,,,,,,,,,,,,,,
489,1.51093,0,1.87828,0.0021,2.06424,0.00993,2.87046,0.53991,2.59396,0.46612,1.03809,1.80957,1,0,,,,,,,,,,,,,,,,,,,,,,
490,1.5109,0,1.87727,0.00212,2.06317,0.00985,2.87034,0.5368,2.59387,0.46328,1.0205,1.81395,1,0,,,,,,,,,,,,,,,,,,,,,,
491,1.51087,0,1.87627,0.00213,2.0621,0.00976,2.87021,0.53372,2.59373,0.46052,1.00291,1.81834,1,0,,,,,,,,,,,,,,,,,,,,,,
492,1.51083,0,1.87526,0.00215,2.06102,0.00968,2.87007,0.53065,2.59359,0.45776,0.98531,1.82272,1,0,,,,,,,,,,,,,,,,,,,,,,
493,1.5108,0,1.87426,0.00217,2.05995,0.00959,2.86991,0.5276,2.59345,0.455,0.96772,1.82711,1,0,,,,,,,,,,,,,,,,,,,,,,
494,1.51077,0,1.87326,0.00218,2.05887,0.00951,2.86975,0.52456,2.59331,0.45224,0.95013,1.83149,1,0,,,,,,,,,,,,,,,,,,,,,,
495,1.51073,0,1.87226,0.0022,2.0578,0.00942,2.86957,0.52155,2.59317,0.44948,0.93254,1.83588,1,0,,,,,,,,,,,,,,,,,,,,,,
496,1.5107,0,1.87126,0.00221,2.05673,0.00934,2.86939,0.51854,2.59298,0.4468,0.91505,1.84069,1,0,,,,,,,,,,,,,,,,,,,,,,
497,1.51067,0,1.87025,0.00223,2.05565,0.00925,2.86919,0.51557,2.59279,0.44412,0.89914,1.8522,1,0,,,,,,,,,,,,,,,,,,,,,,
498,1.51064,0,1.86925,0.00224,2.05458,0.00917,2.86899,0.51259,2.5926,0.44144,0.88323,1.86371,1,0,,,,,,,,,,,,,,,,,,,,,,
499,1.51061,0,1.86825,0.00226,2.0535,0.00908,2.86878,0.50965,2.59241,0.43876,0.86732,1.87523,1,0,,,,,,,,,,,,,,,,,,,,,,
500,1.51057,0,1.86725,0.00228,2.05243,0.009,2.86856,0.5067,2.59222,0.43608,0.85141,1.88674,1,0,,,,,,,,,,,,,,,,,,,,,,
501,1.51054,0,1.86625,0.00229,2.05136,0.00893,2.86832,0.50379,2.59198,0.43348,0.8355,1.89825,1,0,,,,,,,,,,,,,,,,,,,,,,
502,1.51051,0,1.86524,0.00231,2.05028,0.00886,2.86809,0.50088,2.59175,0.43089,0.81959,1.90976,1,0,,,,,,,,,,,,,,,,,,,,,,
503,1.51048,0,1.86424,0.00233,2.04921,0.00879,2.86783,0.49801,2.59151,0.42829,0.80368,1.92127,1,0,,,,,,,,,,,,,,,,,,,,,,
504,1.51044,0,1.86324,0.00234,2.04813,0.00872,2.86758,0.49513,2.59128,0.42569,0.78777,1.93279,1,0,,,,,,,,,,,,,,,,,,,,,,
505,1.51041,0,1.86224,0.00236,2.04706,0.00865,2.86731,0.49228,2.59104,0.42309,0.77186,1.9443,1,0,,,,,,,,,,,,,,,,,,,,,,
506,1.51038,0,1.86123,0.00238,2.04599,0.00858,2.86704,0.48944,2.59076,0.42057,0.75595,1.95581,1,0,,,,,,,,,,,,,,,,,,,,,,
507,1.51035,0,1.86023,0.00239,2.04491,0.00851,2.86675,0.48662,2.59049,0.41805,0.74189,1.97108,1,0,,,,,,,,,,,,,,,,,,,,,,
508,1.51031,0,1.85923,0.00241,2.04384,0.00844,2.86646,0.48381,2.59021,0.41553,0.72794,1.98659,1,0,,,,,,,,,,,,,,,,,,,,,,
509,1.51028,0,1.85823,0.00243,2.04276,0.00837,2.86616,0.48102,2.58994,0.413,0.714,2.00211,1,0,,,,,,,,,,,,,,,,,,,,,,
510,1.51025,0,1.85723,0.00245,2.04169,0.0083,2.86586,0.47824,2.58966,0.41048,0.70005,2.01762,1,0,,,,,,,,,,,,,,,,,,,,,,
511,1.51022,0,1.85622,0.00246,2.04091,0.00823,2.86554,0.47549,2.58935,0.40804,0.6861,2.03313,1,0,,,,,,,,,,,,,,,,,,,,,,
512,1.51019,0,1.85522,0.00248,2.04012,0.00816,2.86522,0.47273,2.58903,0.40559,0.67216,2.04864,1,0,,,,,,,,,,,,,,,,,,,,,,
513,1.51015,0,1.85422,0.0025,2.03934,0.00809,2.86488,0.47001,2.58872,0.40315,0.65821,2.06416,1,0,,,,,,,,,,,,,,,,,,,,,,
514,1.51012,0,1.85327,0.00252,2.03855,0.00802,2.86455,0.46729,2.58841,0.4007,0.64426,2.07967,1,0,,,,,,,,,,,,,,,,,,,,,,
515,1.51009,0,1.85232,0.00253,2.03777,0.00795,2.8642,0.4646,2.58809,0.39825,0.63031,2.09518,1,0,,,,,,,,,,,,,,,,,,,,,,
516,1.51006,0,1.85131,0.00255,2.03712,0.00788,2.86385,0.46191,2.58775,0.39588,0.61637,2.11069,1,0,,,,,,,,,,,,,,,,,,,,,,
517,1.51002,0,1.85031,0.00257,2.03647,0.00781,2.86349,0.45924,2.5874,0.39351,0.60378,2.1275,1,0,,,,,,,,,,,,,,,,,,,,,,
518,1.50999,0,1.84931,0.00259,2.03581,0.00774,2.86312,0.45658,2.58705,0.39113,0.59324,2.14625,1,0,,,,,,,,,,,,,,,,,,,,,,
519,1.50996,0,1.84831,0.0026,2.03516,0.00767,2.86275,0.45395,2.5867,0.38876,0.58269,2.165,1,0,,,,,,,,,,,,,,,,,,,,,,
520,1.50993,0,1.84731,0.00262,2.03451,0.0076,2.86237,0.45132,2.58636,0.38639,0.57215,2.18375,1,0,,,,,,,,,,,,,,,,,,,,,,
521,1.5099,0,1.8463,0.00264,2.03386,0.00753,2.86198,0.44871,2.58598,0.38408,0.5616,2.2025,1,0,,,,,,,,,,,,,,,,,,,,,,
522,1.50986,0,1.84536,0.00266,2.03321,0.00746,2.86159,0.44611,2.5856,0.38178,0.55105,2.22125,1,0,,,,,,,,,,,,,,,,,,,,,,
523,1.50983,0,1.8444,0.00268,2.03256,0.00739,2.86118,0.44353,2.58522,0.37948,0.54051,2.24,1,0,,,,,,,,,,,,,,,,,,,,,,
524,1.5098,0,1.8434,0.0027,2.03191,0.00732,2.86078,0.44096,2.58484,0.37718,0.52996,2.25875,1,0,,,,,,,,,,,,,,,,,,,,,,
525,1.50977,0,1.8424,0.00272,2.03126,0.00725,2.86036,0.43841,2.58446,0.37487,0.51942,2.2775,1,0,,,,,,,,,,,,,,,,,,,,,,
526,1.50974,0,1.84139,0.00273,2.03061,0.00718,2.85995,0.43587,2.58405,0.37264,0.50887,2.29625,1,0,,,,,,,,,,,,,,,,,,,,,,
527,1.50971,0,1.84039,0.00275,2.02996,0.00711,2.85952,0.43335,2.58365,0.37041,0.49833,2.315,1,0,,,,,,,,,,,,,,,,,,,,,,
528,1.50968,0,1.83942,0.00277,2.0293,0.00704,2.85909,0.43083,2.58324,0.36817,0.48886,2.3337,1,0,,,,,,,,,,,,,,,,,,,,,,
529,1.50965,0,1.83848,0.00279,2.02865,0.00697,2.85865,0.42834,2.58283,0.36594,0.48101,2.35234,1,0,,,,,,,,,,,,,,,,,,,,,,
530,1.50962,0,1.83748,0.00281,2.028,0.0069,2.85821,0.42585,2.58243,0.3637,0.47317,2.37098,1,0,,,,,,,,,,,,,,,,,,,,,,
531,1.50959,0,1.83648,0.00283,2.02735,0.00683,2.85776,0.42339,2.58199,0.36153,0.46532,2.38961,1,0,,,,,,,,,,,,,,,,,,,,,,
532,1.50956,0,1.83548,0.00285,2.0267,0.00676,2.85731,0.42092,2.58156,0.35937,0.45748,2.40825,1,0,,,,,,,,,,,,,,,,,,,,,,
533,1.50953,0,1.83448,0.00287,2.02605,0.00669,2.85685,0.41849,2.58113,0.3572,0.44963,2.42688,1,0,,,,,,,,,,,,,,,,,,,,,,
534,1.50951,0,1.83349,0.00289,2.0254,0.00662,2.85639,0.41605,2.58069,0.35503,0.44178,2.44552,1,0,,,,,,,,,,,,,,,,,,,,,,
535,1.50948,0,1.83254,0.00291,2.02475,0.00655,2.85591,0.41364,2.58026,0.35286,0.43394,2.46415,1,0,,,,,,,,,,,,,,,,,,,,,,
536,1.50945,0,1.83157,0.00293,2.0241,0.00648,2.85544,0.41123,2.5798,0.35076,0.42609,2.48279,1,0,,,,,,,,,,,,,,,,,,,,,,
537,1.50942,0,1.83057,0.00295,2.02345,0.00641,2.85496,0.40885,2.57934,0.34865,0.41824,2.50142,1,0,,,,,,,,,,,,,,,,,,,,,,
538,1.50939,0,1.82957,0.00297,2.02279,0.00634,2.85447,0.40647,2.57889,0.34655,0.4104,2.52006,1,0,,,,,,,,,,,,,,,,,,,,,,
539,1.50936,0,1.82857,0.00299,2.02214,0.00627,2.85398,0.40411,2.57843,0.34445,0.40255,2.5387,1,0,,,,,,,,,,,,,,,,,,,,,,
540,1.50933,0,1.82756,0.00301,2.02149,0.0062,2.85349,0.40176,2.57797,0.34234,0.39765,2.5548,1,0,,,,,,,,,,,,,,,,,,,,,,
541,1.5093,0,1.82661,0.00303,2.02084,0.00613,2.85299,0.39942,2.5775,0.3403,0.39298,2.57071,1,0,,,,,,,,,,,,,,,,,,,,,,
542,1.50927,0,1.82566,0.00305,2.02019,0.00606,2.85248,0.39709,2.57702,0.33826,0.3883,2.58662,1,0,,,,,,,,,,,,,,,,,,,,,,
543,1.50924,0,1.82465,0.00307,2.01954,0.00599,2.85197,0.39479,2.57654,0.33622,0.38363,2.60254,1,0,,,,,,,,,,,,,,,,,,,,,,
544,1.50921,0,1.82365,0.00309,2.01889,0.00592,2.85146,0.39248,2.57606,0.33417,0.37895,2.61845,1,0,,,,,,,,,,,,,,,,,,,,,,
545,1.50918,0,1.82265,0.00311,2.01824,0.00585,2.85094,0.3902,2.57558,0.33213,0.37428,2.63436,1,0,,,,,,,,,,,,,,,,,,,,,,
546,1.50915,0,1.82171,0.00314,2.01759,0.00578,2.85042,0.38792,2.57508,0.33015,0.36961,2.65027,1,0,,,,,,,,,,,,,,,,,,,,,,
547,1.50912,0,1.82075,0.00316,2.01694,0.00571,2.84989,0.38567,2.57458,0.32817,0.36493,2.66618,1,0,,,,,,,,,,,,,,,,,,,,,,
548,1.50909,0,1.81974,0.00318,2.01628,0.00564,2.84936,0.38341,2.57409,0.32618,0.36026,2.6821,1,0,,,,,,,,,,,,,,,,,,,,,,
549,1.50906,0,1.81874,0.0032,2.01563,0.00557,2.84882,0.38118,2.57359,0.3242,0.35558,2.69801,1,0,,,,,,,,,,,,,,,,,,,,,,
550,1.50903,0,1.81774,0.00322,2.01498,0.0055,2.84828,0.37895,2.57309,0.32222,0.35091,2.71392,1,0,,,,,,,,,,,,,,,,,,,,,,
551,1.509,0,1.81674,0.00324,2.01433,0.00543,2.84774,0.37675,2.57257,0.3203,0.34623,2.72983,1,0,,,,,,,,,,,,,,,,,,,,,,
552,1.50897,0,1.81574,0.00327,2.01368,0.00536,2.84719,0.37454,2.57206,0.31837,0.34296,2.74196,1,0,,,,,,,,,,,,,,,,,,,,,,
553,1.50894,0,1.81473,0.00329,2.01303,0.00529,2.84664,0.37236,2.57154,0.31645,0.33977,2.75389,1,0,,,,,,,,,,,,,,,,,,,,,,
554,1.50891,0,1.81379,0.00331,2.01238,0.00522,2.84608,0.37018,2.57103,0.31452,0.33658,2.76583,1,0,,,,,,,,,,,,,,,,,,,,,,
555,1.50888,0,1.81283,0.00333,2.01173,0.00515,2.84552,0.36802,2.57051,0.3126,0.33338,2.77776,1,0,,,,,,,,,,,,,,,,,,,,,,
556,1.50886,0,1.81182,0.00335,2.01124,0.00508,2.84496,0.36586,2.56998,0.31073,0.33019,2.78969,1,0,,,,,,,,,,,,,,,,,,,,,,
557,1.50884,0,1.81082,0.00338,2.01076,0.00501,2.84439,0.36373,2.56945,0.30886,0.32699,2.80162,1,0,,,,,,,,,,,,,,,,,,,,,,
558,1.50881,0,1.80982,0.0034,2.01027,0.00494,2.84382,0.36159,2.56891,0.307,0.3238,2.81355,1,0,,,,,,,,,,,,,,,,,,,,,,
559,1.50879,0,1.80882,0.00342,2.00979,0.00487,2.84325,0.35948,2.56838,0.30513,0.3206,2.82548,1,0,,,,,,,,,,,,,,,,,,,,,,
560,1.50876,0,1.80782,0.00344,2.0093,0.0048,2.84267,0.35737,2.56785,0.30326,0.31741,2.83741,1,0,,,,,,,,,,,,,,,,,,,,,,
561,1.50874,0,1.80681,0.00347,2.009,0.00473,2.84209,0.35528,2.5673,0.30145,0.31421,2.84934,1,0,,,,,,,,,,,,,,,,,,,,,,
562,1.50872,0,1.80587,0.00349,2.00871,0.00466,2.8415,0.35319,2.56676,0.29963,0.31102,2.86127,1,0,,,,,,,,,,,,,,,,,,,,,,
563,1.50869,0,1.80491,0.00351,2.00841,0.00459,2.84091,0.35112,2.56621,0.29782,0.30782,2.8732,1,0,,,,,,,,,,,,,,,,,,,,,,
564,1.50867,0,1.8039,0.00354,2.00812,0.00452,2.84032,0.34906,2.56566,0.296,0.30475,2.88199,1,0,,,,,,,,,,,,,,,,,,,,,,
565,1.50864,0,1.8029,0.00356,2.00782,0.00445,2.83973,0.34701,2.56512,0.29419,0.30186,2.88661,1,0,,,,,,,,,,,,,,,,,,,,,,
566,1.50862,0,1.8019,0.00358,2.00752,0.00438,2.83913,0.34497,2.56456,0.29243,0.29896,2.89124,1,0,,,,,,,,,,,,,,,,,,,,,,
567,1.5086,0,1.8009,0.00361,2.00722,0.00431,2.83853,0.34295,2.564,0.29067,0.29606,2.89586,1,0,,,,,,,,,,,,,,,,,,,,,,
568,1.50857,0,1.7999,0.00363,2.00693,0.00424,2.83793,0.34093,2.56344,0.28891,0.29316,2.90049,1,0,,,,,,,,,,,,,,,,,,,,,,
569,1.50855,0,1.79889,0.00366,2.00663,0.00417,2.83732,0.33893,2.56288,0.28714,0.29026,2.90511,1,0,,,,,,,,,,,,,,,,,,,,,,
570,1.50852,0,1.79789,0.00368,2.00633,0.0041,2.83671,0.33693,2.56232,0.28538,0.28736,2.90974,1,0,,,,,,,,,,,,,,,,,,,,,,
571,1.5085,0,1.79689,0.0037,2.00603,0.00403,2.8361,0.33495,2.56175,0.28367,0.28446,2.91436,1,0,,,,,,,,,,,,,,,,,,,,,,
572,1.50848,0,1.79588,0.00373,2.00573,0.00396,2.83549,0.33297,2.56118,0.28196,0.28157,2.91899,1,0,,,,,,,,,,,,,,,,,,,,,,
573,1.50845,0,1.79488,0.00375,2.00544,0.00389,2.83487,0.33102,2.5606,0.28025,0.27867,2.92361,1,0,,,,,,,,,,,,,,,,,,,,,,
574,1.50843,0,1.79388,0.00378,2.00514,0.00382,2.83425,0.32906,2.56003,0.27854,0.27577,2.92824,1,0,,,,,,,,,,,,,,,,,,,,,,
575,1.5084,0,1.79287,0.0038,2.00484,0.00375,2.83362,0.32712,2.55946,0.27683,0.27287,2.93286,1,0,,,,,,,,,,,,,,,,,,,,,,
576,1.50838,0,1.79187,0.00383,2.00454,0.00368,2.833,0.32519,2.55888,0.27517,0.26997,2.93749,1,0,,,,,,,,,,,,,,,,,,,,,,
577,1.50836,0,1.79087,0.00385,2.00424,0.00361,2.83237,0.32327,2.5583,0.27351,0.26725,2.94131,1,0,,,,,,,,,,,,,,,,,,,,,,
578,1.50833,0,1.78987,0.00388,2.00395,0.00354,2.83174,0.32136,2.55771,0.27184,0.26492,2.94345,1,0,,,,,,,,,,,,,,,,,,,,,,
579,1.50831,0,1.78887,0.0039,2.00365,0.00347,2.8311,0.31946,2.55713,0.27018,0.26259,2.94559,1,0,,,,,,,,,,,,,,,,,,,,,,
580,1.50828,0,1.78786,0.00393,2.00335,0.0034,2.83047,0.31757,2.55655,0.26852,0.26026,2.94773,1,0,,,,,,,,,,,,,,,,,,,,,,
581,1.50826,0,1.78686,0.00395,2.00305,0.00333,2.82983,0.31569,2.55596,0.26691,0.25793,2.94987,1,0,,,,,,,,,,,,,,,,,,,,,,
582,1.50824,0,1.78586,0.00398,2.00276,0.00326,2.82919,0.31382,2.55537,0.26529,0.2556,2.95201,1,0,,,,,,,,,,,,,,,,,,,,,,
583,1.50821,0,1.78485,0.00401,2.00246,0.00319,2.82854,0.31197,2.55477,0.26368,0.25327,2.95415,1,0,,,,,,,,,,,,,,,,,,,,,,
584,1.50819,0,1.78385,0.00403,2.00217,0.00312,2.8279,0.31011,2.55418,0.26206,0.25094,2.95629,1,0,,,,,,,,,,,,,,,,,,,,,,
585,1.50816,0,1.78285,0.00406,2.00187,0.00305,2.82725,0.30828,2.55359,0.26045,0.24861,2.95843,1,0,,,,,,,,,,,,,,,,,,,,,,
586,1.50814,0,1.78184,0.00408,2.00157,0.00298,2.8266,0.30644,2.55299,0.25888,0.24628,2.96057,1,0,,,,,,,,,,,,,,,,,,,,,,
587,1.50812,0,1.78084,0.00411,2.00127,0.00291,2.82595,0.30463,2.55239,0.25731,0.24395,2.96271,1,0,,,,,,,,,,,,,,,,,,,,,,
588,1.50809,0,1.77984,0.00414,2.00098,0.00284,2.82529,0.30281,2.55179,0.25575,0.24162,2.96484,1,0,,,,,,,,,,,,,,,,,,,,,,
589,1.50807,0,1.77883,0.00416,2.00068,0.00277,2.82464,0.30102,2.55119,0.25418,0.23929,2.96698,1,0,,,,,,,,,,,,,,,,,,,,,,
590,1.50804,0,1.77783,0.00419,2.00038,0.0027,2.82398,0.29922,2.55059,0.25261,0.23696,2.96912,1,0,,,,,,,,,,,,,,,,,,,,,,
591,1.50802,0,1.77683,0.00422,2.00008,0.00263,2.82332,0.29745,2.54998,0.25109,0.23502,2.97184,1,0,,,,,,,,,,,,,,,,,,,,,,
592,1.508,0,1.77583,0.00425,1.99978,0.00256,2.82266,0.29567,2.54937,0.24956,0.23335,2.97497,1,0,,,,,,,,,,,,,,,,,,,,,,
593,1.50797,0,1.77482,0.00427,1.99949,0.00249,2.82199,0.29391,2.54876,0.24804,0.23168,2.97809,1,0,,,,,,,,,,,,,,,,,,,,,,
594,1.50795,0,1.77375,0.0043,1.99919,0.00242,2.82133,0.29216,2.54816,0.24652,0.23002,2.98122,1,0,,,,,,,,,,,,,,,,,,,,,,
595,1.50793,0,1.77272,0.00433,1.99889,0.00235,2.82066,0.29042,2.54755,0.24499,0.22835,2.98434,1,0,,,,,,,,,,,,,,,,,,,,,,
596,1.50791,0,1.77171,0.00436,1.99859,0.00228,2.81999,0.28868,2.54693,0.24351,0.22668,2.98747,1,0,,,,,,,,,,,,,,,,,,,,,,
597,1.50789,0,1.77071,0.00438,1.99829,0.00221,2.81932,0.28696,2.54632,0.24203,0.22502,2.99059,1,0,,,,,,,,,,,,,,,,,,,,,,
598,1.50786,0,1.76971,0.00441,1.998,0.00214,2.81864,0.28524,2.5457,0.24055,0.22335,2.99372,1,0,,,,,,,,,,,,,,,,,,,,,,
599,1.50784,0,1.76871,0.00444,1.9977,0.00207,2.81797,0.28354,2.54509,0.23907,0.22168,2.99684,1,0,,,,,,,,,,,,,,,,,,,,,,
600,1.50782,0,1.76766,0.00447,1.9974,0.002,2.81729,0.28183,2.54447,0.23759,0.22002,2.99997,1,0,,,,,,,,,,,,,,,,,,,,,,
601,1.5078,0,1.7666,0.0045,1.9971,0.00199,2.81661,0.28015,2.54385,0.23615,0.21835,3.00309,1,0,,,,,,,,,,,,,,,,,,,,,,
602,1.50778,0,1.7656,0.00453,1.99681,0.00198,2.81593,0.27847,2.54323,0.23471,0.21668,3.00622,1,0,,,,,,,,,,,,,,,,,,,,,,
603,1.50776,0,1.7646,0.00455,1.99651,0.00197,2.81525,0.2768,2.54261,0.23327,0.21502,3.00934,1,0,,,,,,,,,,,,,,,,,,,,,,
604,1.50774,0,1.76359,0.00458,1.99622,0.00196,2.81457,0.27513,2.54199,0.23183,0.21335,3.01247,1,0,,,,,,,,,,,,,,,,,,,,,,
605,1.50771,0,1.76253,0.00461,1.99592,0.00195,2.81388,0.27349,2.54137,0.23039,0.21177,3.01557,1,0,,,,,,,,,,,,,,,,,,,,,,
606,1.50769,0,1.76149,0.00464,1.99562,0.00194,2.8132,0.27184,2.54074,0.22899,0.21058,3.01854,1,0,,,,,,,,,,,,,,,,,,,,,,
607,1.50767,0,1.76048,0.00467,1.99532,0.00193,2.81251,0.27021,2.54012,0.22759,0.20939,3.02152,1,0,,,,,,,,,,,,,,,,,,,,,,
608,1.50765,0,1.75943,0.0047,1.99503,0.00192,2.81182,0.26858,2.53949,0.2262,0.2082,3.02449,1,0,,,,,,,,,,,,,,,,,,,,,,
609,1.50763,0,1.75838,0.00473,1.99473,0.00191,2.81113,0.26696,2.53886,0.2248,0.20701,3.02747,1,0,,,,,,,,,,,,,,,,,,,,,,
610,1.50761,0,1.75737,0.00476,1.99443,0.0019,2.81043,0.26535,2.53824,0.2234,0.20582,3.03045,1,0,,,,,,,,,,,,,,,,,,,,,,
611,1.50758,0,1.75634,0.00479,1.99413,0.00189,2.80974,0.26375,2.53761,0.22204,0.20463,3.03342,1,0,,,,,,,,,,,,,,,,,,,,,,
612,1.50756,0,1.75528,0.00482,1.99383,0.00188,2.80905,0.26215,2.53698,0.22068,0.20344,3.0364,1,0,,,,,,,,,,,,,,,,,,,,,,
613,1.50754,0,1.75426,0.00485,1.99354,0.00187,2.80835,0.26057,2.53635,0.21932,0.20225,3.03938,1,0,,,,,,,,,,,,,,,,,,,,,,
